               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10847,            0.054548,             0.05659,             0.32794,            0.051429,            0.025743,           0.0072206,            0.091767,            0.038927,            0.049046,            0.070448,           0.0032836,           0.0032836
                   1,            0.082481,            0.058575,            0.042932,            0.068752,             0.27162,            0.087836,            0.028206,            0.079169,            0.040104,            0.037157,            0.040404,           0.0065732,           0.0065732
                   2,            0.077927,            0.056541,            0.033833,              0.2167,             0.34315,             0.17179,            0.060517,            0.070722,            0.035572,            0.029231,            0.010316,           0.0098189,           0.0098189
                   3,            0.071306,            0.056274,            0.027784,             0.29494,             0.36808,             0.29045,             0.12137,            0.063621,            0.042046,            0.024137,            0.009802,            0.009802,            0.009802
                   4,            0.064744,            0.056523,             0.02451,             0.35725,             0.42653,             0.34312,             0.13686,            0.062333,            0.034612,            0.020072,            0.009802,            0.009802,            0.009802
                   5,            0.061276,            0.056256,            0.020649,             0.39213,             0.51218,             0.40908,             0.16104,            0.064089,            0.033315,            0.019334,            0.009736,            0.009736,            0.009736
                   6,            0.060653,            0.057544,            0.017356,              0.4619,             0.49387,             0.45357,             0.19523,            0.057297,            0.033949,            0.016597,             0.00967,             0.00967,             0.00967
                   7,             0.05811,            0.055786,            0.016747,             0.54966,             0.58534,             0.57408,             0.24631,            0.055131,            0.033038,            0.013243,            0.009604,            0.009604,            0.009604
                   8,            0.058242,            0.054296,            0.014357,             0.69992,              0.5682,             0.63466,             0.27439,            0.053875,            0.031819,           0.0097167,            0.009538,            0.009538,            0.009538
                   9,            0.057889,            0.051487,            0.012807,             0.62234,             0.56793,             0.57712,             0.26231,            0.056211,            0.032775,            0.010702,            0.009472,            0.009472,            0.009472
                  10,            0.055683,            0.053461,            0.011239,             0.72132,             0.66422,             0.71214,             0.32971,            0.052247,            0.031394,           0.0072286,            0.009406,            0.009406,            0.009406
                  11,            0.055933,            0.054318,            0.010414,             0.75059,             0.65978,             0.72011,             0.33868,            0.052213,            0.031238,           0.0072936,             0.00934,             0.00934,             0.00934
                  12,            0.054564,            0.051791,           0.0098821,             0.62129,             0.66667,             0.63671,             0.28351,             0.05468,            0.031487,           0.0080127,            0.009274,            0.009274,            0.009274
                  13,            0.054054,            0.051043,           0.0096544,             0.75252,             0.69474,             0.75275,             0.34532,            0.050007,            0.031704,           0.0076253,            0.009208,            0.009208,            0.009208
                  14,            0.053827,            0.051491,           0.0087807,             0.76936,             0.74539,              0.7907,             0.36946,             0.04924,            0.030223,           0.0053675,            0.009142,            0.009142,            0.009142
                  15,             0.05334,             0.04918,           0.0081818,             0.79495,             0.70037,             0.77795,             0.37363,            0.048127,            0.030713,           0.0058746,            0.009076,            0.009076,            0.009076
                  16,            0.053166,            0.051876,           0.0074947,             0.77908,             0.70542,              0.7681,             0.37115,            0.048583,            0.030209,           0.0059171,             0.00901,             0.00901,             0.00901
                  17,            0.050927,            0.048764,           0.0072561,             0.73502,             0.71395,             0.76137,             0.36583,            0.049089,            0.030583,           0.0056824,            0.008944,            0.008944,            0.008944
                  18,            0.051096,            0.048996,           0.0068891,             0.79084,             0.73174,             0.79699,             0.36915,            0.048759,            0.030331,           0.0051205,            0.008878,            0.008878,            0.008878
                  19,            0.051636,            0.049759,           0.0067731,             0.81928,              0.7128,              0.7888,             0.38564,            0.047573,            0.029738,           0.0053361,            0.008812,            0.008812,            0.008812
                  20,            0.050814,            0.048169,           0.0069448,             0.76293,              0.7219,              0.7622,             0.36686,            0.049608,            0.030782,           0.0054446,            0.008746,            0.008746,            0.008746
                  21,            0.049114,            0.046967,           0.0062108,             0.78854,             0.74568,             0.79104,             0.37424,            0.049653,            0.029815,           0.0047394,             0.00868,             0.00868,             0.00868
                  22,            0.050034,            0.047651,           0.0057892,             0.76587,             0.74921,             0.79418,             0.37043,            0.048785,             0.02956,           0.0044014,            0.008614,            0.008614,            0.008614
                  23,            0.049745,            0.045838,           0.0060788,             0.78111,             0.70692,             0.77604,             0.36283,             0.05119,            0.028743,           0.0045427,            0.008548,            0.008548,            0.008548
                  24,            0.048708,            0.048053,           0.0058298,             0.79915,             0.70702,             0.78644,             0.38297,            0.047767,            0.029148,            0.005583,            0.008482,            0.008482,            0.008482
                  25,            0.049242,            0.047991,           0.0054805,              0.8044,             0.75147,             0.80744,             0.38586,            0.047631,            0.028654,           0.0041308,            0.008416,            0.008416,            0.008416
                  26,             0.04928,            0.046008,           0.0055374,             0.81634,             0.77003,             0.82046,             0.41448,            0.046256,             0.02836,           0.0040888,             0.00835,             0.00835,             0.00835
                  27,            0.048785,            0.046572,           0.0053549,             0.80868,             0.76567,             0.82097,             0.40909,            0.047263,            0.028596,            0.003961,            0.008284,            0.008284,            0.008284
                  28,            0.047911,            0.048017,           0.0050306,             0.83948,             0.76025,             0.83618,              0.4227,            0.045562,            0.028847,           0.0041492,            0.008218,            0.008218,            0.008218
                  29,            0.047693,            0.046531,           0.0046748,             0.84272,             0.77496,             0.83136,             0.41151,            0.046714,            0.028747,            0.003913,            0.008152,            0.008152,            0.008152
                  30,            0.047945,             0.04599,           0.0049971,             0.84339,             0.78571,             0.83786,             0.43023,            0.044942,            0.028161,           0.0038011,            0.008086,            0.008086,            0.008086
                  31,            0.046324,            0.045134,           0.0048646,             0.82731,             0.78208,             0.82931,             0.40966,             0.04725,            0.028442,           0.0037696,             0.00802,             0.00802,             0.00802
                  32,            0.047022,            0.045444,           0.0044641,             0.85288,             0.78059,             0.84289,             0.43066,            0.044612,            0.027871,           0.0040791,            0.007954,            0.007954,            0.007954
                  33,            0.046158,            0.044731,           0.0041203,             0.84647,             0.74338,             0.81832,             0.40128,             0.04795,            0.028254,            0.004164,            0.007888,            0.007888,            0.007888
                  34,            0.046191,             0.04574,           0.0043625,             0.85129,             0.79645,             0.84909,             0.44266,            0.044738,            0.028371,           0.0038516,            0.007822,            0.007822,            0.007822
                  35,            0.046776,            0.046611,           0.0044407,             0.85824,             0.78289,             0.85215,             0.43507,            0.044855,            0.028017,           0.0037747,            0.007756,            0.007756,            0.007756
                  36,            0.045583,            0.045447,           0.0039768,             0.84742,              0.8044,              0.8655,             0.45623,            0.043708,            0.027935,           0.0032637,             0.00769,             0.00769,             0.00769
                  37,            0.046754,            0.046081,           0.0043559,              0.8719,             0.78493,              0.8516,              0.4389,            0.044076,            0.028025,            0.003302,            0.007624,            0.007624,            0.007624
                  38,            0.045183,            0.043374,           0.0038346,             0.85894,             0.79021,             0.85745,             0.44188,            0.043744,            0.027535,           0.0031078,            0.007558,            0.007558,            0.007558
                  39,            0.045194,            0.043953,           0.0039829,              0.8653,             0.78607,             0.85328,             0.44175,            0.044217,            0.027341,           0.0035916,            0.007492,            0.007492,            0.007492
                  40,            0.045983,            0.043741,           0.0039044,             0.85364,             0.80784,             0.86754,             0.45123,            0.043895,            0.026899,           0.0034602,            0.007426,            0.007426,            0.007426
                  41,            0.044438,            0.043098,           0.0039546,             0.84416,             0.82489,             0.86894,                0.47,            0.043046,            0.027579,           0.0033546,             0.00736,             0.00736,             0.00736
                  42,            0.044436,            0.043693,           0.0037561,              0.8628,             0.79623,             0.85444,             0.45445,            0.043549,             0.02724,           0.0035949,            0.007294,            0.007294,            0.007294
                  43,            0.044087,            0.042196,           0.0037916,             0.87651,             0.77655,             0.85682,             0.45584,            0.043633,             0.02713,           0.0034431,            0.007228,            0.007228,            0.007228
                  44,            0.043883,             0.04289,           0.0035659,             0.86044,             0.78394,             0.85992,             0.45051,            0.044007,            0.027639,            0.003283,            0.007162,            0.007162,            0.007162
                  45,            0.044724,            0.044181,           0.0035302,             0.85695,             0.81177,             0.86522,             0.44779,            0.044391,            0.027341,           0.0031525,            0.007096,            0.007096,            0.007096
